instance_name pci_022_n0070_orig
instance_group orig
min_allowed_pci 9
max_allowed_pci 398
module_k 4
num_nodes 70
num_top_neighbors 61
0 9
0 10
1 10
1 52
2 4
2 11
3 4
3 5
6 55
6 61
7 57
8 43
8 64
9 11
12 13
12 28
13 33
14 27
15 26
15 31
16 17
16 25
18 20
18 30
19 26
19 32
20 30
21 22
22 23
23 24
24 25
28 29
29 33
31 32
34 43
34 46
35 36
36 39
37 46
37 49
38 41
38 61
39 45
40 51
41 49
42 44
45 50
47 50
47 51
52 53
53 54
55 68
56 57
58 67
58 69
59 64
59 65
60 65
60 68
62 67
62 69
num_regular_neighbors 197
0 1
0 2
0 3
0 4
0 5
0 11
0 52
1 2
1 4
1 9
1 11
2 5
2 9
2 52
2 53
2 54
3 9
3 10
4 5
4 9
4 10
4 11
4 52
5 9
5 11
6 7
6 8
6 56
6 57
6 59
6 60
6 63
6 64
6 65
6 68
7 8
7 60
7 61
7 68
8 44
8 59
8 60
8 61
8 65
9 10
9 52
10 11
11 52
12 14
12 18
12 23
12 27
13 14
13 18
13 19
13 20
13 27
13 29
13 30
15 16
15 17
15 19
15 22
15 23
15 24
15 25
15 28
15 32
16 19
16 26
16 31
16 32
17 19
17 26
17 31
17 32
17 33
18 19
18 22
18 23
18 28
18 29
18 31
19 20
19 24
19 25
19 28
19 29
19 31
19 33
20 29
20 31
20 32
20 33
21 23
22 24
22 25
22 28
22 31
23 28
24 26
24 28
24 31
25 26
26 31
26 32
27 30
28 31
29 30
29 31
29 32
30 33
31 33
32 33
32 37
34 35
34 36
34 37
34 38
34 44
35 38
35 61
36 37
36 38
37 38
37 39
37 41
37 45
37 50
38 39
38 46
38 50
38 65
39 40
39 41
39 46
39 47
39 50
39 51
40 41
40 45
40 47
40 49
40 50
41 45
41 46
41 47
41 50
41 51
42 43
43 44
43 59
43 65
44 59
44 65
45 46
45 47
45 49
45 51
46 47
46 50
48 58
48 69
49 50
49 51
50 51
52 54
54 58
54 69
55 56
55 57
55 58
55 62
55 66
55 69
56 60
56 67
56 68
57 60
57 64
57 68
58 62
59 60
59 61
59 63
60 61
60 63
60 64
61 64
61 65
63 64
63 65
64 65
66 67
66 68
67 68
67 69
num_second_level_neighbors 301
0 53
0 54
1 3
1 5
1 53
1 54
2 3
2 10
2 58
2 69
3 11
3 52
4 53
4 54
5 10
5 52
5 53
5 54
6 35
6 38
6 43
6 44
6 58
6 62
6 66
6 67
6 69
7 35
7 38
7 43
7 44
7 55
7 56
7 59
7 63
7 64
7 65
7 66
7 67
8 34
8 35
8 38
8 42
8 55
8 56
8 57
8 63
8 68
9 53
9 54
10 52
11 53
11 54
12 15
12 19
12 20
12 21
12 22
12 24
12 29
12 30
12 31
12 33
13 15
13 16
13 17
13 22
13 23
13 24
13 25
13 26
13 28
13 31
13 32
14 18
14 19
14 20
14 23
14 28
14 29
14 30
14 33
15 18
15 20
15 21
15 29
15 33
15 37
16 18
16 20
16 22
16 23
16 24
16 28
16 29
16 33
16 37
17 18
17 20
17 22
17 23
17 24
17 25
17 28
17 29
17 30
17 37
18 21
18 24
18 25
18 26
18 27
18 32
18 33
19 22
19 23
19 27
19 30
19 37
20 22
20 23
20 24
20 25
20 26
20 27
20 28
20 37
21 24
21 25
21 28
21 31
22 26
22 29
22 30
22 32
22 33
23 25
23 26
23 27
23 29
23 30
23 31
23 32
24 29
24 32
24 33
25 28
25 29
25 31
25 32
25 33
26 28
26 29
26 33
26 37
27 28
27 29
27 33
28 30
28 32
28 33
29 37
30 31
30 32
31 37
32 34
32 36
32 38
32 39
32 41
32 45
32 46
32 49
32 50
33 37
34 39
34 41
34 42
34 45
34 47
34 49
34 50
34 59
34 61
34 65
35 37
35 39
35 41
35 43
35 44
35 46
35 50
35 59
35 60
35 64
35 65
36 40
36 41
36 43
36 44
36 45
36 46
36 47
36 49
36 50
36 51
36 61
36 65
37 40
37 43
37 44
37 47
37 51
37 61
37 65
38 40
38 43
38 44
38 45
38 47
38 49
38 51
38 59
38 60
38 63
38 64
39 49
39 61
39 65
40 46
41 61
41 65
42 59
42 65
43 46
43 60
43 61
43 63
43 64
44 46
44 60
44 61
44 63
44 64
46 49
46 51
46 61
46 65
47 49
48 54
48 55
48 62
48 67
50 61
50 65
52 58
52 69
53 58
53 69
54 55
54 62
54 67
55 59
55 60
55 61
55 63
55 64
55 65
55 67
56 58
56 59
56 61
56 62
56 63
56 64
56 65
56 66
56 69
57 58
57 59
57 61
57 62
57 63
57 65
57 66
57 67
57 69
58 66
58 68
59 68
60 66
60 67
61 63
61 68
62 66
62 68
63 68
64 68
65 68
66 69
68 69
original_pcis
177
178
179
363
364
365
159
160
161
366
367
368
381
382
383
102
103
104
117
119
118
396
397
398
108
109
110
291
69
70
71
111
112
113
348
349
350
45
46
47
9
10
105
106
107
93
94
95
204
81
82
83
360
361
362
300
301
302
207
162
163
164
222
168
169
170
210
211
212
216
cp_solver_time 0.062220947
feasible_solution
388
396
394
392
389
397
388
391
393
393
398
395
392
382
397
393
397
392
387
388
394
335
389
395
386
396
390
391
385
398
396
384
290
395
386
397
398
391
389
393
397
395
398
384
395
390
396
387
397
394
392
288
387
398
391
398
386
389
392
392
385
387
395
397
390
394
397
394
396
393
num_inter_technology_neighbors 0
inter_technology_neighbors
