instance_name pci_010_n0045_orig
instance_group orig
min_allowed_pci 14
max_allowed_pci 497
module_k 4
num_nodes 45
num_top_neighbors 34
0 2
0 22
1 9
1 10
2 22
3 13
4 5
4 15
5 7
6 13
6 34
7 27
8 28
9 11
10 23
11 16
12 14
12 33
14 37
15 25
16 17
17 34
19 20
19 37
20 30
21 33
21 38
23 24
24 32
25 39
26 32
26 42
27 35
28 30
num_regular_neighbors 112
0 1
0 10
0 11
0 16
0 25
0 26
0 27
0 41
0 42
0 44
1 2
1 16
1 22
1 23
1 26
2 10
2 16
2 23
2 24
2 26
2 35
3 4
3 5
3 7
4 7
4 13
4 27
5 6
5 13
5 14
5 15
5 27
5 34
6 12
6 14
6 27
6 28
7 13
7 15
7 16
7 17
7 34
8 12
8 19
8 30
9 10
9 25
9 26
10 11
10 16
10 22
10 25
10 26
11 22
11 25
11 26
11 27
12 13
12 19
12 28
12 34
12 40
13 14
13 34
14 21
14 27
14 33
15 16
15 17
15 27
15 34
16 22
16 24
16 25
16 26
16 27
16 35
16 41
16 43
17 27
17 35
17 36
18 19
18 20
18 30
19 21
19 28
19 29
19 30
20 21
21 30
21 37
22 23
22 24
22 26
22 27
23 26
24 26
24 27
24 31
24 35
24 41
25 26
25 27
25 34
25 42
26 27
26 41
27 34
27 36
28 29
29 30
num_second_level_neighbors 308
0 4
0 5
0 6
0 7
0 9
0 14
0 15
0 17
0 23
0 24
0 32
0 34
0 35
0 36
0 39
0 43
1 7
1 11
1 15
1 17
1 24
1 25
1 27
1 32
1 35
1 41
1 42
1 43
1 44
2 7
2 9
2 11
2 15
2 17
2 25
2 27
2 31
2 32
2 41
2 42
2 43
2 44
3 6
3 12
3 14
3 15
3 16
3 17
3 27
3 34
4 6
4 11
4 12
4 14
4 16
4 17
4 22
4 24
4 25
4 26
4 34
4 35
4 36
5 11
5 12
5 16
5 17
5 21
5 22
5 24
5 25
5 26
5 28
5 33
5 35
5 36
5 37
6 7
6 8
6 11
6 15
6 16
6 17
6 19
6 21
6 22
6 24
6 25
6 26
6 29
6 30
6 33
6 35
6 36
6 37
6 40
7 10
7 11
7 12
7 14
7 22
7 24
7 25
7 26
7 35
7 36
7 41
7 43
8 13
8 14
8 18
8 20
8 21
8 29
8 33
8 34
8 37
8 40
9 15
9 16
9 22
9 23
9 24
9 27
9 32
9 34
9 39
9 41
9 42
10 15
10 17
10 24
10 27
10 32
10 34
10 35
10 39
10 41
10 42
10 43
10 44
11 14
11 15
11 17
11 23
11 24
11 32
11 34
11 35
11 36
11 39
11 41
11 42
11 43
11 44
12 15
12 17
12 18
12 20
12 21
12 25
12 27
12 29
12 30
12 37
13 15
13 16
13 17
13 19
13 21
13 25
13 27
13 28
13 33
13 37
13 40
14 15
14 16
14 17
14 19
14 20
14 22
14 24
14 25
14 26
14 28
14 30
14 34
14 35
14 36
14 38
14 40
15 22
15 24
15 26
15 35
15 36
15 39
15 41
15 42
15 43
16 23
16 31
16 32
16 34
16 36
16 39
16 42
16 44
17 22
17 24
17 25
17 26
17 41
17 43
18 21
18 28
18 29
18 37
19 33
19 34
19 38
19 40
20 28
20 29
20 33
20 37
20 38
21 27
21 28
21 29
22 25
22 31
22 32
22 34
22 35
22 36
22 41
22 42
22 43
22 44
23 25
23 27
23 31
23 32
23 35
23 41
23 42
24 25
24 34
24 36
24 42
24 43
25 32
25 35
25 36
25 41
25 43
25 44
26 31
26 34
26 35
26 36
26 39
26 43
26 44
27 28
27 31
27 32
27 33
27 37
27 39
27 41
27 42
27 43
27 44
28 33
28 34
28 37
28 40
29 37
30 33
30 37
30 38
31 32
31 35
31 41
32 35
32 41
32 42
33 34
33 37
33 38
33 40
34 35
34 36
34 39
34 40
34 42
35 36
35 41
35 43
37 38
39 42
41 42
41 43
41 44
42 44
original_pcis
177
104
103
44
219
43
321
80
352
257
147
256
495
497
190
399
436
389
394
393
281
235
15
17
16
404
403
402
96
64
215
0
0
90
423
274
284
86
237
100
426
0
0
0
0
cp_solver_time 0.066010986
feasible_solution
496
485
494
496
494
493
497
488
491
491
495
486
487
490
492
480
483
362
497
418
360
495
487
490
481
489
482
478
494
496
493
497
492
488
484
491
495
489
497
494
496
493
497
497
492
num_inter_technology_neighbors 0
inter_technology_neighbors
