instance_name pci_041_n0114_full
instance_group full
min_allowed_pci 0
max_allowed_pci 1007
module_k 4
num_nodes 114
num_top_neighbors 112
0 1
0 27
1 4
2 12
2 112
3 6
3 33
4 28
5 6
5 95
7 11
7 83
8 30
8 34
9 15
9 37
10 11
10 47
12 24
13 17
13 25
14 30
14 32
15 93
16 38
16 59
17 26
18 23
18 40
19 22
19 26
20 23
20 41
21 28
21 42
22 39
24 44
25 43
27 29
29 44
31 32
31 99
33 42
34 95
35 92
35 101
36 37
36 38
39 40
43 113
45 58
45 79
46 82
46 85
47 105
48 87
48 108
49 69
49 107
50 65
50 110
51 83
51 90
52 62
52 74
53 63
53 91
54 82
54 104
55 56
55 79
56 99
57 73
57 84
58 106
59 94
60 78
60 102
61 86
61 105
62 80
63 65
64 77
64 100
66 67
66 96
67 68
68 97
69 72
70 71
70 103
71 76
72 84
73 88
74 81
75 103
75 104
76 107
77 110
78 81
80 85
86 102
87 88
89 94
89 106
90 93
91 109
92 101
96 97
100 108
111 112
111 113
num_regular_neighbors 1209
0 2
0 3
0 12
0 14
0 18
0 21
0 24
0 28
0 29
0 39
0 42
0 44
0 111
0 113
1 2
1 6
1 12
1 13
1 15
1 17
1 27
1 28
1 30
1 42
1 111
1 112
2 3
2 14
2 17
2 18
2 19
2 20
2 21
2 22
2 23
2 24
2 25
2 26
2 28
2 30
2 33
2 39
2 40
2 41
2 42
2 43
2 44
2 111
2 113
3 4
3 5
3 8
3 11
3 12
3 13
3 14
3 17
3 18
3 19
3 20
3 24
3 25
3 26
3 27
3 28
3 30
3 31
3 32
3 39
3 42
3 43
3 44
3 107
3 108
3 113
4 5
4 6
4 7
4 9
4 11
4 13
4 15
4 16
4 17
4 25
4 30
4 33
4 36
4 37
4 38
4 45
4 57
4 60
4 62
4 93
4 112
5 7
5 8
5 10
5 11
5 16
5 17
5 19
5 25
5 28
5 30
5 31
5 33
5 34
5 35
5 38
5 45
5 48
5 51
5 52
5 56
5 62
5 64
5 90
5 91
5 99
5 100
5 104
5 105
5 107
5 108
5 110
6 7
6 8
6 9
6 11
6 12
6 13
6 14
6 15
6 16
6 17
6 19
6 24
6 25
6 28
6 30
6 33
6 36
6 38
6 45
6 51
6 105
6 112
6 113
7 8
7 9
7 10
7 16
7 33
7 36
7 37
7 38
7 48
7 51
7 57
7 58
7 59
7 60
7 62
7 63
7 64
7 72
7 74
7 75
7 84
7 86
7 90
7 93
7 94
7 95
7 99
7 102
7 104
7 105
7 108
8 10
8 11
8 16
8 17
8 23
8 25
8 26
8 31
8 32
8 33
8 35
8 42
8 48
8 51
8 60
8 62
8 63
8 64
8 90
8 93
8 95
8 99
8 108
8 110
9 10
9 11
9 13
9 16
9 17
9 19
9 25
9 30
9 33
9 36
9 38
9 45
9 57
9 58
9 59
9 60
9 87
9 93
9 94
10 16
10 37
10 38
10 45
10 48
10 51
10 52
10 54
10 57
