instance_name pci_029_n0082_full
instance_group full
min_allowed_pci 0
max_allowed_pci 1007
module_k 4
num_nodes 82
num_top_neighbors 69
0 2
1 3
1 4
3 4
6 39
6 40
7 8
7 26
8 9
9 10
10 11
12 13
12 48
14 71
15 19
15 72
16 49
16 73
17 20
18 20
18 46
19 47
21 46
21 81
22 32
22 65
23 52
23 66
24 51
24 66
25 33
25 34
26 33
27 28
27 31
28 35
29 30
29 31
30 36
32 69
34 39
35 38
37 38
37 67
40 70
41 42
43 52
43 65
44 74
44 80
45 80
48 49
50 51
50 81
53 54
53 55
54 71
55 57
56 58
56 63
57 78
59 60
59 61
60 62
62 64
63 64
67 69
68 70
72 73
num_regular_neighbors 232
0 1
0 4
1 2
2 39
3 5
4 5
6 7
6 8
6 9
7 9
7 10
7 25
7 34
7 35
7 38
7 39
7 40
8 10
8 11
8 39
9 11
9 39
10 39
12 22
13 48
14 15
14 16
14 44
14 54
14 72
15 16
15 17
16 19
16 47
16 48
16 71
16 72
16 81
17 18
17 19
17 46
17 72
17 81
18 19
18 22
18 50
18 72
18 81
19 48
19 49
19 72
20 21
20 22
20 23
20 46
20 48
20 50
21 22
21 32
21 42
21 43
21 50
21 52
21 65
22 43
22 46
22 52
22 68
23 24
23 25
23 35
23 43
23 65
24 25
24 26
24 35
24 38
24 52
24 67
25 28
25 31
25 32
25 35
25 36
25 38
25 39
25 66
25 67
26 27
26 28
26 29
26 31
26 35
26 38
26 66
27 29
27 30
27 33
27 35
28 29
28 30
28 31
28 32
28 33
28 34
28 36
28 37
28 38
28 67
28 69
29 33
29 35
29 38
30 31
30 33
30 67
31 32
31 33
31 35
31 36
31 37
31 38
31 67
31 69
32 33
32 34
32 35
32 36
32 37
32 38
32 40
32 65
32 67
33 34
33 35
33 36
33 37
33 38
33 67
33 69
34 36
34 37
34 38
34 67
34 69
35 36
35 37
35 65
35 66
35 67
35 69
36 37
36 38
36 67
37 40
37 69
38 39
38 40
38 65
38 66
38 67
38 68
38 69
39 40
39 67
40 67
40 69
41 43
41 51
42 43
42 51
43 46
43 50
43 51
44 45
44 46
44 50
44 75
44 76
44 79
44 81
45 46
45 51
45 81
46 50
46 52
47 48
47 49
47 72
48 72
49 73
50 52
51 52
52 65
52 66
53 57
53 60
54 55
54 57
54 62
54 72
55 56
55 58
55 60
55 61
55 62
55 63
55 64
55 71
56 57
56 60
56 61
56 62
56 64
57 58
57 60
57 62
57 71
58 63
59 77
59 78
60 61
62 63
65 66
65 67
65 68
65 69
66 67
68 69
69 70
71 72
71 73
num_second_level_neighbors 543
0 3
0 5
0 39
1 5
1 39
2 3
2 4
2 6
2 7
2 8
2 9
2 10
2 25
2 34
2 38
2 40
2 67
6 10
6 11
6 25
6 26
6 32
6 34
6 35
6 37
6 38
6 67
6 69
6 70
7 11
7 23
7 24
7 27
7 28
7 29
7 31
7 32
7 33
7 36
7 37
7 65
