instance_name pci_011_n0047_full
instance_group full
min_allowed_pci 0
max_allowed_pci 1007
module_k 4
num_nodes 47
num_top_neighbors 42
0 37
0 39
1 3
1 14
2 38
2 39
3 17
4 40
4 41
5 17
5 41
6 25
6 26
7 10
7 19
8 11
8 25
9 19
9 24
10 35
11 29
12 14
12 15
16 22
16 42
18 20
21 23
22 23
24 26
28 33
28 35
29 34
30 31
30 32
31 32
33 34
36 42
37 38
40 43
44 45
44 46
45 46
num_regular_neighbors 174
0 1
0 2
0 12
0 13
0 14
0 15
0 16
0 17
0 22
0 36
0 38
0 42
1 2
1 4
1 13
1 17
1 36
1 37
1 38
1 39
1 40
1 41
1 42
1 43
2 3
2 4
2 5
2 14
2 16
2 17
2 36
2 37
2 41
3 4
3 5
3 38
3 41
4 5
4 38
5 38
6 7
6 8
6 9
6 10
6 11
6 18
6 19
6 24
6 27
6 28
6 29
6 31
6 33
6 34
6 35
7 8
7 9
7 11
7 24
7 25
7 26
7 29
7 34
7 35
8 10
8 19
8 20
8 24
8 26
8 28
8 29
8 31
8 34
8 35
9 10
9 11
9 18
9 26
9 27
9 28
9 29
9 33
9 35
10 11
10 19
10 24
10 25
10 26
10 27
10 28
10 29
10 33
10 34
11 19
11 24
11 26
11 27
11 31
12 13
12 22
12 31
13 14
13 16
14 15
14 16
14 17
14 22
14 36
14 37
14 38
14 39
14 40
14 41
14 42
14 43
15 16
15 17
15 22
15 39
16 17
16 39
17 22
17 36
17 37
17 38
17 39
17 45
17 46
18 19
19 20
19 27
21 22
22 39
24 25
24 27
24 28
24 29
24 33
24 34
24 35
25 26
25 28
25 31
25 35
26 29
26 31
26 33
26 35
27 28
27 29
27 35
28 29
28 34
29 33
29 35
33 35
34 35
36 37
36 38
36 39
37 39
37 40
37 41
37 42
38 39
38 41
38 42
39 40
39 41
39 42
40 41
40 42
41 42
42 43
num_second_level_neighbors 232
0 3
0 4
0 5
0 21
0 23
0 31
0 40
0 41
0 43
0 45
0 46
1 5
1 12
1 15
1 16
1 22
1 45
1 46
2 12
2 13
2 15
2 22
2 40
2 42
2 43
2 45
2 46
3 13
3 14
3 15
3 16
3 22
3 36
3 37
3 39
3 40
3 42
3 43
3 45
3 46
4 13
4 14
4 16
4 17
4 36
4 37
4 39
4 42
4 43
5 14
5 15
5 16
5 22
5 36
5 37
5 39
5 40
5 42
5 45
5 46
6 12
6 20
6 30
6 32
7 18
7 20
7 27
7 28
7 31
7 33
8 9
8 12
8 18
8 27
8 30
8 32
8 33
9 20
9 25
9 31
9 34
10 18
10 20
10 31
11 12
11 18
11 20
11 25
11 28
11 30
11 32
11 33
11 34
11 35
12 16
12 17
12 21
12 23
12 25
12 26
12 30
12 32
12 36
12 37
12 38
12 39
12 40
12 41
12 42
12 43
13 15
13 17
13 22
13 31
13 36
13 37
13 38
13 39
13 40
13 41
13 42
13 43
14 21
14 23
14 31
14 45
14 46
15 21
15 23
15 31
15 36
15 37
15 38
15 40
15 41
15 42
15 43
15 45
15 46
16 21
16 23
16 36
16 37
16 38
16 40
16 41
16 43
16 45
16 46
17 21
17 23
17 40
17 41
17 42
17 43
17 44
18 24
18 25
18 26
18 27
18 28
18 29
18 31
18 33
18 34
18 35
19 24
19 25
19 26
19 28
19 29
19 31
19 33
19 34
19 35
20 24
20 25
20 26
20 27
20 28
20 29
20 31
20 34
20 35
21 39
22 31
22 36
22 37
22 38
22 40
22 41
22 42
22 43
22 45
22 46
23 39
24 31
25 27
25 29
25 30
25 32
25 33
25 34
26 27
26 28
26 30
26 32
26 34
27 31
27 33
27 34
28 31
29 31
31 33
31 34
31 35
36 40
36 41
36 43
36 45
36 46
37 43
37 45
37 46
38 40
38 43
38 45
38 46
39 43
39 45
39 46
41 43
original_pcis
294
290
76
240
215
259
91
65
447
62
394
150
149
435
37
40
306
283
304
303
98
317
399
463
210
82
68
194
384
454
211
417
92
58
59
393
27
187
257
83
412
207
225
22
385
60
386
cp_solver_time 0.081089111
feasible_solution
993
999
987
996
1007
998
994
1007
998
1006
1002
993
1002
995
989
1007
992
1001
1001
725
724
1004
994
1005
996
1003
1005
995
842
1000
1006
997
1007
1004
999
992
1003
991
1004
1006
997
1000
1005
998
1007
1005
1002
num_inter_technology_neighbors 0
inter_technology_neighbors
