instance_name pci_020_n0069_orig
instance_group orig
min_allowed_pci 4
max_allowed_pci 482
module_k 4
num_nodes 69
num_top_neighbors 62
0 2
0 9
1 8
1 10
2 8
3 4
5 17
5 43
6 27
6 58
7 14
7 23
9 11
10 38
11 35
12 26
12 29
13 15
13 67
14 66
15 16
16 17
21 34
21 39
22 64
22 66
23 35
24 39
24 41
25 30
25 40
26 44
27 28
28 33
29 42
30 32
31 37
31 59
32 62
33 42
34 64
36 48
36 59
37 38
40 56
41 47
43 44
45 49
45 61
46 56
46 65
47 57
48 60
49 54
50 51
50 57
51 52
52 53
53 58
54 55
60 62
61 65
num_regular_neighbors 542
0 1
0 6
0 8
0 32
0 38
1 2
1 6
1 7
1 9
1 21
1 23
1 24
1 29
1 31
1 33
1 35
1 37
1 38
1 47
1 52
1 53
1 65
2 9
2 10
2 11
2 33
2 35
2 38
3 5
3 15
4 5
4 15
5 13
5 15
5 16
6 7
6 8
6 9
6 13
6 21
6 24
6 29
6 31
6 32
6 33
6 36
6 37
6 38
6 41
6 47
6 50
6 53
6 59
6 62
6 65
7 8
7 12
7 21
7 22
7 24
7 26
7 29
7 31
7 33
7 34
7 35
7 40
7 41
7 42
7 48
7 53
7 64
7 65
7 66
8 9
8 10
8 11
8 33
8 35
8 38
8 42
9 10
9 35
9 37
9 38
10 11
10 33
10 34
10 35
10 42
10 43
10 44
11 38
12 13
12 14
12 22
12 25
12 34
12 40
12 42
12 43
12 64
12 65
12 66
12 67
12 68
13 14
13 16
13 17
13 22
13 26
13 33
13 34
13 42
13 43
14 17
14 22
14 23
14 26
14 33
14 34
14 35
14 42
14 43
14 44
14 64
14 67
14 68
15 17
17 35
17 42
17 43
18 27
18 37
18 41
18 47
18 53
18 58
18 59
19 27
19 37
19 38
19 41
19 46
19 47
19 53
19 58
19 59
20 37
20 38
20 47
20 53
21 22
21 23
21 24
21 25
21 26
21 27
21 28
21 29
21 33
21 37
21 40
21 41
21 46
21 47
21 51
21 53
21 58
21 63
21 64
21 65
21 66
22 23
22 24
22 25
22 26
22 29
22 34
22 42
22 43
22 67
22 68
23 24
23 26
23 29
23 33
23 34
23 42
23 64
23 65
23 66
23 68
24 25
24 26
24 27
24 28
24 29
24 30
24 31
24 32
24 33
24 34
24 36
24 37
24 38
24 40
24 42
24 45
24 46
24 47
24 48
24 49
24 50
24 51
24 52
24 53
24 55
24 57
24 58
24 61
24 63
24 64
24 65
24 66
25 26
25 28
25 29
25 31
25 34
25 38
25 43
25 49
25 57
25 64
26 29
26 33
26 34
26 35
26 40
26 42
26 64
26 66
26 67
26 68
27 29
27 30
27 31
27 32
27 33
27 36
27 37
27 38
27 41
27 45
27 46
27 47
27 48
27 49
27 50
27 51
27 52
27 53
27 57
27 58
27 59
27 61
27 65
28 29
28 31
28 34
28 37
28 39
28 40
28 41
28 45
28 46
28 49
28 50
28 51
28 52
28 55
28 56
28 58
28 63
28 64
29 31
29 33
29 34
29 35
29 37
29 38
29 40
29 41
29 46
29 47
29 50
29 52
29 53
29 56
29 58
29 63
29 64
29 65
29 66
29 68
30 31
30 36
30 37
30 39
30 41
30 48
30 49
30 50
30 51
30 54
30 55
30 56
30 60
31 32
31 33
31 36
31 38
31 40
31 41
31 45
31 46
31 47
31 49
31 50
31 51
31 52
31 53
31 57
31 58
31 61
31 64
31 65
32 36
32 38
32 41
32 45
32 47
32 48
32 50
32 53
32 54
32 57
32 59
32 60
32 61
32 65
33 34
33 35
33 37
33 38
33 41
33 43
33 46
33 47
33 50
33 52
33 53
33 58
33 59
33 65
33 66
34 35
34 40
34 42
34 43
34 58
34 63
34 66
34 67
34 68
35 38
35 42
35 44
35 68
36 37
36 38
36 41
36 45
36 47
36 50
36 51
36 53
36 57
36 60
36 61
36 62
36 65
37 39
37 40
37 41
37 42
37 45
37 46
37 47
37 49
37 50
37 51
37 52
37 53
37 56
37 57
37 58
37 59
37 63
37 64
37 65
37 66
38 41
38 47
38 53
38 59
38 65
39 40
39 41
39 45
39 49
39 51
39 54
39 55
39 56
39 60
39 63
40 41
40 45
40 46
40 49
40 51
40 52
40 58
40 63
40 64
41 45
41 46
41 48
41 49
41 50
41 51
41 52
41 53
41 54
41 56
41 57
41 58
41 59
41 60
41 61
41 63
41 65
42 43
42 44
42 53
42 64
42 66
42 67
42 68
43 67
43 68
44 68
45 46
45 47
45 50
45 51
45 53
45 56
45 57
45 58
46 47
46 49
46 50
46 51
46 52
46 53
46 58
47 50
47 53
47 58
47 59
47 61
47 62
47 65
47 66
48 49
48 50
48 51
48 54
49 50
49 51
49 52
49 55
49 56
49 57
49 58
49 63
50 52
50 53
50 58
50 59
50 61
50 62
50 65
51 53
51 54
51 56
51 57
51 58
52 58
52 63
52 65
53 57
53 59
53 61
53 65
53 66
54 56
54 60
55 56
56 57
56 61
57 58
57 59
57 61
57 65
58 59
58 61
58 65
58 66
59 62
59 65
60 61
61 62
63 64
63 65
64 65
64 66
64 68
65 66
num_second_level_neighbors 1146
0 7
0 10
0 11
0 13
0 19
0 20
0 21
0 23
0 24
0 25
0 27
0 29
0 30
0 31
0 33
0 35
0 36
0 37
0 41
0 42
0 45
0 47
0 48
0 50
0 52
0 53
0 54
0 57
0 58
0 59
0 60
